Designator,Mid X,Mid Y,Rotation,Layer
BOARD_0-C1,9.41,-25.4,270.0,top
BOARD_0-C2,9.41,-18.225,90.0,top
BOARD_0-R1,9.285,-33.425,270.0,top
BOARD_0-R2,9.285,-29.975,90.0,top
BOARD_0-R4,11.26,-17.85,90.0,top
BOARD_0-R6,11.61,-12.5,90.0,top
BOARD_0-R7,9.61,-12.5,270.0,top
BOARD_0-U1,10.11,-21.8,270.0,top
BOARD_1-C1,14.41,-25.4,270.0,top
BOARD_1-C2,14.41,-18.225,90.0,top
BOARD_1-R1,14.285,-33.425,270.0,top
BOARD_1-R2,14.285,-29.975,90.0,top
BOARD_1-R5,15.21,-15.2,180.0,top
BOARD_1-R6,16.61,-12.5,90.0,top
BOARD_1-U1,15.11,-21.8,270.0,top
BOARD_10-C1,61.71,-13.4,90.0,top
BOARD_10-C5,61.71,-20.3,90.0,top
BOARD_10-C9,61.71,-28.7,270.0,top
BOARD_10-R1,59.41,-11.3,90.0,top
BOARD_10-R13,59.71,-28.7,270.0,top
BOARD_10-R2,61.71,-16.9,90.0,top
BOARD_10-R9,59.41,-14.8,270.0,top
BOARD_10-U1,60.71,-24.3,90.0,top
BOARD_11-C1,9.41,-64.4,270.0,top
BOARD_11-C2,9.41,-57.225,90.0,top
BOARD_11-R1,9.285,-72.425,270.0,top
BOARD_11-R2,9.285,-68.975,90.0,top
BOARD_11-R4,11.26,-56.85,90.0,top
BOARD_11-R6,11.61,-51.5,90.0,top
BOARD_11-R7,9.61,-51.5,270.0,top
BOARD_11-U1,10.11,-60.8,270.0,top
BOARD_12-C1,14.41,-64.4,270.0,top
BOARD_12-C2,14.41,-57.225,90.0,top
BOARD_12-R1,14.285,-72.425,270.0,top
BOARD_12-R2,14.285,-68.975,90.0,top
BOARD_12-R5,15.21,-54.2,180.0,top
BOARD_12-R6,16.61,-51.5,90.0,top
BOARD_12-U1,15.11,-60.8,270.0,top
BOARD_13-C1,21.71,-52.4,90.0,top
BOARD_13-C5,21.71,-59.3,90.0,top
BOARD_13-C9,21.71,-67.7,270.0,top
BOARD_13-R1,19.41,-50.3,90.0,top
BOARD_13-R13,19.71,-67.7,270.0,top
BOARD_13-R2,21.71,-55.9,90.0,top
BOARD_13-R9,19.41,-53.8,270.0,top
BOARD_13-U1,20.71,-63.3,90.0,top
BOARD_14-Q1,25.66,-52.1625,270.0,top
BOARD_14-R1,26.11,-58.7,0.0,top
BOARD_14-R2,24.71,-56.1,90.0,top
BOARD_14-U1,25.51,-66.5,90.0,top
BOARD_15-C1,29.41,-64.4,270.0,top
BOARD_15-C2,29.41,-57.225,90.0,top
